,Tanggal,Pengguna,Tweet,Sentimen
38,2022-04-19 03:52:15,UT_Jakarta,"hallo ka, silahkan akses kembali (byDA)",Netral
39,2022-04-19 03:52:12,Cute_Tagar,"Tahun 1900an orang2 udah pakai Bom Atom, Senapan, Meriam. Tau-tau tahun 2022 NII diduga ingin lengserkan Pemerintah dengan Bukti Golok. Jarak Padang - Jakarta itu 1000Km lebih. Kira2 ini ya, sesakti apa Goloknya tuhhh??? https://t.co/xvBBjA3GJR",Netral
40,2022-04-19 03:52:08,Hariss_FZ,RT : Tadi sore penyair Taufiq Ismail ke ⁦ ⁩ . Sekalian melihat kaset ceramah ayahanda beliau KH A Gaffar Ismail. KH…,Netral
41,2022-04-19 03:52:07,DolfieOtay,"RT _idha: Era Anies Baswedan, Layanan Administrasi Kependudukan di Jakarta Selesai dalam 15 Menit Amazing ini mah 👍😊 https://t.co/…",Positif
42,2022-04-19 03:52:04,papicili02,"RT : terapi itu gk mnggunakan obat,oles ( kapsul) ya dear,ckup di cari urat saraf ke arah mr p saja,yuk yg minat lngsung wa.081380…",Netral
43,2022-04-19 03:52:03,Ttgs250,RT : available now untuk jakarta dan luar jawa 📲 083819489833 📍Jateng pemalang https://t.co/gWccJ98e8L https://t.co/Pj3CnH…,Positif
44,2022-04-19 03:52:02,FabEmMiaw,Guys aku mau jual tas nih... Baru 1x pake banget. Bentuknya kayak di bawah ini. Real picture nya nyusul yaaa. Kirim dr Jakarta. Aku beli waktu itu harganya 200rb. Aku jual 120rb. Ongkir aku yg tanggung kalau nggak nego. Pembeli serius DM aja yak. Nanti lanjut WA. https://t.co/6JgYpKXi1B,Positif
45,2022-04-19 03:51:58,UT_Jakarta,"hallo ka, cantumkan nimnya dahulu yaa (byDA)",Netral
46,2022-04-19 03:51:58,svytd,"RT : David Da Silva, Persib, Barito Putera, dan PSSI Resmi digugat ke Pengadilan Negeri Jakarta Pusat atas dugaan sepakbola…",Netral
47,2022-04-19 03:51:57,papicili02,"RT : terapi itu gk mnggunakan obat,oles ( kapsul) ya dear,ckup di cari urat saraf ke arah mr p saja,yuk yg minat lngsung wa.08138…",Netral
48,2022-04-19 03:51:55,anyeongjuseyo,wts voc goride/gocar dom jakarta #zonauang #zonaba #zonajajan #zonabu https://t.co/IdaOYPOxjm,Netral
49,2022-04-19 03:51:44,T_Irham,8# Ia juga meminta Anies tidak malah membuat anggapan kerja sama dengan pemerintah pusat tidak berjalan dengan baik dalam membenahi problem di Jakarta.,Netral
50,2022-04-19 03:51:36,RumahJualbeli,"CARI TANAH KAVLING UNTUK BANGUN KEBUN BUAH? DIJAMIN NYAMAN, Hubungi 0812-1244-2489, Di Jual Kavling Dan Tanah Di Kavling Desa Wisata Kebun Buah Saung Estetik Dekat Jakarta https://t.co/GgvO9fdizZ",Netral
51,2022-04-19 03:51:35,anitajeann90,"Indonesia akan memindahkan IKN dari Jakarta ke penajam Paser Utara, Kalimantan timur, Nusantara #SemangatNusantara",Netral
52,2022-04-19 03:51:32,sermangka,Wts kolbuk 1p preloved 40k Dom Jakarta Bisa 🍊 Video condi bisa cek di reply yaaa. Boleh dm aja kalau ada yg mau ditanyain🥰 https://t.co/DMGDoOXly0,Netral
53,2022-04-19 03:51:28,BeritaJakarta,"Puskesmas Kecamatan Kalideres menyiapkan gerai vaksinasi COVID-19 di Terminal Bus Antar Kota Antar Provinsi (AKAP) Kalideres, Jakarta Barat. #BacadiBJ #BeritaJakarta #DKIJakarta #JAKI https://t.co/JLdcajc372",Netral
54,2022-04-19 03:51:11,Cahaya_CintaNda,RT : https://t.co/VEVJ6C2s0y ➖➖ Menteri Badan Usaha Milik Negara Erick Thohir menjadi salah satu pembicara seminar Masyaraka…,Netral
55,2022-04-19 03:51:07,Norma_luv_,Sama dong kak eng😂 aku dr dia disolo duh jgn sampe jakarta gubernurnya katro eh malah sampe jd presiden😪,Negatif
56,2022-04-19 03:51:03,rizaldiard,"RT : . 19 March 2023 // Jakarta, Indonesia Tickets + Info: https://t.co/YmE1Cl8Dis https://t.co/lKgT35dAfJ",Netral
57,2022-04-19 03:51:02,KPUDBali,"RT _ID: #Temanpemilih, Ketua KPU RI Hasyim Asy'ari bersama Anggota KPU RI M. Afifuddin menghadiri peringatan Hari lahir Organisasi Perg…",Netral
58,2022-04-19 03:51:02,jpnncom,Pelaku usaha kerupuk kaleng eceran di Jakarta akan menaikan harga yang semula Rp 1.000 menjadi Rp 2.000 per buah. #MinyakGoreng https://t.co/sMGogskDae,Netral
59,2022-04-19 03:50:52,vanililatti,wts // want to sell — ggu ggu package enhypen 2022 💸610k 📍dom jakarta https://t.co/D7jKkdqTw2,Netral
60,2022-04-19 03:50:47,RumahJualbeli,"CARI TANAH KAVLING UNTUK BANGUN KEBUN BUAH? BU DIJUAL CEPAT, Hubungin 0812-1244-2489, Harga Kavling Tanah Di Bogor Di Kavling Desa Wisata Kebun Buah Saung Estetik Dekat Jakarta https://t.co/m4lkSKuhaq",Netral
61,2022-04-19 03:50:42,daryantomail,RT : Goodbener mengajak kita semua warga DKI Jakarta untuk menggapai keberkahan Allah dengan serentak membaca Alq…,Netral
62,2022-04-19 03:50:40,antika56893672,"Gabener seenak jidat, gak punya tggjwb🫢 udh gitu mo nyapres pula🤣 Sebelumnya Pras mengatakan sudah seharusnya Gubernur DKI Jakarta Anies Baswedan menjelaskan kesiapan perhelatan Formula E kepada publik. https://t.co/vM0KNgq1UW",Netral
63,2022-04-19 03:50:39,sellkpopfess,"Kuy- 🎀CIAO NCTZEN🎀 Mau j0in G0 NCT WAYV yg trusted, rate rendah, &amp; admin ramah?? DISINI TEMPATNYAA!!💗💫 Rate cuma 🇰🇷12.2 &amp; 🇨🇳2320 😼👍🏻 📍Jakarta timur 👥300++ member aktif!💖 ✅Can personal order &amp; many testi! Link di rep https://t.co/PNlaG1A4RO",Positif
64,2022-04-19 03:50:35,KPU_Enrekang,"RT _ID: #Temanpemilih, Ketua KPU RI Hasyim Asy'ari bersama Anggota KPU RI M. Afifuddin menghadiri peringatan Hari lahir Organisasi Perg…",Netral
65,2022-04-19 03:50:34,Desri24428503,"_warsono Dia sdg berupaya mengalihkan kesalahannya sbg Gub DKI ke Pemerintah Pusat.! Gub. Dungu.! Program Normalisasi Sungai adalah solusi utama mengatasi banjir Jakarta, namun dia tolak selama ini. Skrg saat mau lengser dr jabatan, dia bertindak seolah Pusat yg Salah.! 👎👎",Netral
66,2022-04-19 03:50:29,mcngdgn,"RT : INVESTIGASI TERBARU Setelah enam bulan melakukan investigasi, kami mempublikasikan tulisan ini. Saya menginvestigasi ribuan…",Netral
67,2022-04-19 03:50:26,Sammongis,RT _Halona: Pegal? Lesu? Butuh pijat traditional plus BO dan berada di Kota #Jakarta? TENDEAN NOW ready now start 14.00-24.00 Hubu…,Positif
68,2022-04-19 03:50:24,KemenkopUKM,"Yuk, persiapkan usaha Sobat UMKM dan Asosiasi untuk ikut serta dalam Temu Bisnis Pengadaan Barang/Jasa Pemerintah! Catat waktu dan tempatnya ya.. Tanggal: 22 - 23 April 2022 Lokasi: Balai Sidang Jakarta Convention Center #KemenKopUKM #UMKMBangkit #KoperasiModern #IndonesiaMaju https://t.co/jm4hKkqF4R",Negatif
69,2022-04-19 03:50:23,T_Irham,"6# Pemerintah pusat melalui PT Sarana Multi Infrastruktur (Persero) telah mencairkan dana PEN kepada DKI Jakarta sebesar Rp12,5 triliun pada 2020 lalu. Dana sebanyak Rp5,297 triliun dialokasikan untuk penanggulangan banjir yang dikerjakan selama tiga tahun dari 2020-2022.",Netral
70,2022-04-19 03:50:22,Generasi1997,"RT : Hingga saat ini program ramadhan berbagi Front Persaudaraan Islam (FPI) telah mendistribusikan 5500 box lebih nasi kebuli, mand…",Netral
71,2022-04-19 03:50:13,elghufron,RT : Band metal Slipknot mengumumkan akan tampil di acara musik Hammersonic 2023 yang akan diselenggarakan di Jakarta. https://t.c…,Netral
72,2022-04-19 03:50:13,Sammongis,RT _Halonaa: Pegal? Lesu? Butuh pijat traditional plus BO dan berada di Kota #Jakarta? TENDEAN NOW ready now start 14.00-24.00 Hub…,Positif
73,2022-04-19 03:50:05,rifkygn69,"RT : . 19 March 2023 // Jakarta, Indonesia Tickets + Info: https://t.co/YmE1Cl8Dis https://t.co/lKgT35dAfJ",Netral
74,2022-04-19 03:50:02,JAJANCITYbase,"Nts! 🎀CIAO NCTZEN🎀 Mau j0in G0 NCT WAYV yg trusted, rate rendah, &amp; admin ramah?? DISINI TEMPATNYAA!!💗💫 Rate cuma 🇰🇷12.2 &amp; 🇨🇳2320 😼👍🏻 📍Jakarta timur 👥300++ member aktif!💖 ✅Can personal order &amp; many testi! Link di rep https://t.co/jmiu3mqrEQ",Positif
75,2022-04-19 03:50:01,kakak_ica,"“Saya tidak ingin pelayanan rumah sakit untuk prajurit tidak maksimal. Jangan biarkan prajurit merasa sendirian,” kata Pak Moel saat bertemu Asosiasi Rumah Sakit Kemhan TNI-Polri, di Gedung Bina Graha Jakarta _Moeldoko #KataPakMoel https://t.co/lVPg1rwzTl https://t.co/kg3sBWWQzS",Netral
76,2022-04-19 03:50:00,badonci,"RT _Lestari: Itu hanya berjarak 2 hari dari Edy Prasetyo berungkap tanya. Ternyata, Gubernur telah bertemu dengan perwakilan tujuh…",Netral
77,2022-04-19 03:49:58,sbyjob,Lowongan jaga cafe di di Jakarta Utara https://t.co/3gMuwcXtoN,Netral
78,2022-04-19 03:49:51,RumahJualbeli,"CARI TANAH KAVLING UNTUK BANGUN KEBUN BUAH? DIJUAL CEPAT, Hubungi 0812-1244-2489, Di Jual Kavling Tanah Di Kavling Desa Wisata Kebun Buah Saung Estetik Dekat Jakarta https://t.co/9vXqLIkdTg",Netral
79,2022-04-19 03:49:49,RadioElshinta,"RT : Terjadi kebakaran pd Apartemen Palazo pkl. 10.20 di Jl. Apron Kel. Kebon Kosong, Kec. Kemayoran (titik kenal Polsek Kemay…",Netral
80,2022-04-19 03:49:48,dicdogg99,"RT : Teroris Sumbar bersenjatakan golok sudah memasuki jakarta, mau gulingkan kekuasaan Jokowi. 😆😆😆 Drama anak negeri kian luc…",Netral
81,2022-04-19 03:49:45,Dikpacker,RT : Menjelang Natal Di JKT slm tiga hari membuat pagelaran Christmas Carol. Di Bulan Ramadhan Pesan Gubernur DKI Jakarta u…,Netral
82,2022-04-19 03:49:44,mochama83694440,RT : Alhamdulillah ayooo warga Jakarta kita ramaikan https://t.co/ObTzKL66hC,Netral
83,2022-04-19 03:49:44,scoupssekop,RT _Nails: Want to sell/WTS Jual rugi: _17 Seventeen’s Movie Power of Love: 1 tiket baris D (bagian tengah) di CGV Pacific Pla…,Positif
84,2022-04-19 03:49:41,mdavdanial,"RT _org: Orang Jakarta mungkin tidak tahu bahwa kota ini sedang mengalami kehilangan besar. Jakarta kehilangan Rasdullah, pemimpin…",Netral
85,2022-04-19 03:49:34,T_Irham,"5# ""Selalu mengerjakan program yang nyeleneh dan tidak tepat sasaran, alhasil menjelang jabatan sebagai Gubernur Jakarta akan berakhir, Pak Anies malah kelabakan seperti ini,"" kata Anggota Komisi D DPRD DKI Jakarta itu.",Netral
86,2022-04-19 03:49:32,KantahKabPkl,"#Repost _bpn Memasuki hari ke-15 di bulan Ramadan, Menteri Agraria dan Tata Ruang/Kepala Badan Pertanahan Nasional (ATR/BPN), Sofyan A. Djalil melakukan silaturahmi dengan Masyarakat Aceh Jakarta di Wisma Taman Iskandar Muda Jakarta~ https://t.co/JIG0aZ4Afw",Netral
87,2022-04-19 03:49:27,nadrayanti,"RT : Hingga saat ini program ramadhan berbagi Front Persaudaraan Islam (FPI) telah mendistribusikan 5500 box lebih nasi kebuli, mand…",Netral
88,2022-04-19 03:49:13,SondangNapitup6,"Semakin dekat dengan Anda untuk memberikan layanan purna jual, Fingerspot hadir diberbagai lokasi : ✅Jakarta ✅Bandung ✅Bekasi ✅Surabaya ✅Malang ✅Yogyakarta ✅Purwokerto ✅Semarang ✅Solo ✅Denpasar ✅Medan ✅Balikpapan ✅Banjarmasin ✅ Pontianak https://t.co/jqHWyeFvO8",Netral
89,2022-04-19 03:49:09,ZupersoepriE,"RT : Hingga saat ini program ramadhan berbagi Front Persaudaraan Islam (FPI) telah mendistribusikan 5500 box lebih nasi kebuli, mand…",Netral
90,2022-04-19 03:49:03,JhoniNadeak23,"RT : Teroris Sumbar bersenjatakan golok sudah memasuki jakarta, mau gulingkan kekuasaan Jokowi. 😆😆😆 Drama anak negeri kian luc…",Netral
91,2022-04-19 03:49:03,kotaurban,"RT : Terjadi kebakaran pd Apartemen Palazo pkl. 10.20 di Jl. Apron Kel. Kebon Kosong, Kec. Kemayoran (titik kenal Polsek Kemay…",Netral
92,2022-04-19 03:49:02,perpusuinjkt,PENGARUH DISIPLIN KERJA DAN STRES KERJA TERHADAP KINERJA DENGAN MOTIVASI KERJA SEBAGAI VARIABEL INTERVENING (Studi Pada Karyawan Balai Sidang Jakarta Convention Center) https://t.co/X1qaSF9Nld,Negatif
93,2022-04-19 03:48:58,IyanMB95,RT : Jakarta 🏡 grogol Selamat pagi 😍 Wa/tele 083872610846 #BOjakarta #pijatdepok #Pijatjakarta #pijatsensual #PijatJakSel #Pi…,Netral
94,2022-04-19 03:48:56,Kurniaw53369919,"Berkabar ya kalau mau ke jakarta, Arep tak cubit cangkem e.",Netral
95,2022-04-19 03:48:55,JEMBUTNYABIRU,"SAKING OTAK NYA GA MAMPU DAN GA PUNYA GAGASAN AKHIRNYA NGIBUL NGARANG CERITA PERMUKAAN TANAH JAKARTA UDAH NAEK BUKA DATA 😂😂😂😂😂 DI URUG KAGA DI TIMBUN KAGA, KOK BISA NAEK PERMUKAAN TANAHNYA ? YANG NAEKIN PERMUKAAN TANAHNYA JIN APA TUYUL ANCOL ? 😂😂😂😂😂",Netral
96,2022-04-19 03:48:55,RumahJualbeli,"CARI TANAH KAVLING UNTUK BANGUN KEBUN BUAH? TERJANGKAU, Hubungi 0812-1244-2489, Kavling Tanah Dijual Murah Di Kavling Desa Wisata Kebun Buah Saung Estetik Dekat Jakarta https://t.co/b6NZX2PgZP",Netral
97,2022-04-19 03:48:54,nabilmachmoed,"RT : . 19 March 2023 // Jakarta, Indonesia Tickets + Info: https://t.co/YmE1Cl8Dis https://t.co/lKgT35dAfJ",Netral
98,2022-04-19 03:48:54,T_Irham,"4# Kenneth mengatakan, pemerintah pusat selalu mencoba menjalin komunikasi atau kolaborasi dalam membenahi permasalahan di Jakarta selama Anies menjabat. Namun, program yang dibuat Anies kerap kali tidak sejalan.",Netral
99,2022-04-19 03:48:53,Jakamaulana19,"Saya seorang petugas penunjang medis di RSUD d Jakarta, anak saya sakit bawa ke UGD sampai di rawat, urusan administrasi, ambil obat, anter urine, Foto copy yg diperlukan urus sendiri. Kan anak kita yg sakit, petugas juga terbatas , berkorban lah.",Netral
